Open Time,Open,High,Low,Close,Volume
2024-11-27 10:00:00,0.16820000,1.72000000,0.16820000,1.36910000,12572872.70000000
2024-11-27 10:03:00,1.36910000,1.43200000,1.31000000,1.42910000,5363942.80000000
2024-11-27 10:06:00,1.42910000,1.51000000,1.40020000,1.50100000,5151450.40000000
2024-11-27 10:09:00,1.50170000,1.52000000,1.40230000,1.42000000,5140963.10000000
2024-11-27 10:12:00,1.42000000,1.48500000,1.41000000,1.44420000,2343691.00000000
2024-11-27 10:15:00,1.44630000,1.46030000,1.40000000,1.42840000,2448978.20000000
2024-11-27 10:18:00,1.42660000,1.45920000,1.40950000,1.43260000,1956051.40000000
2024-11-27 10:21:00,1.43130000,1.47000000,1.41100000,1.44590000,1895102.00000000
2024-11-27 10:24:00,1.44550000,1.47770000,1.41500000,1.45120000,1867060.80000000
2024-11-27 10:27:00,1.45330000,1.54450000,1.45110000,1.54450000,2429983.90000000
2024-11-27 10:30:00,1.54450000,1.68880000,1.53120000,1.60520000,5031978.00000000
2024-11-27 10:33:00,1.60520000,1.82000000,1.60460000,1.78720000,5368474.20000000
2024-11-27 10:36:00,1.78980000,1.86660000,1.72560000,1.76600000,4169092.50000000
2024-11-27 10:39:00,1.76780000,1.89170000,1.70100000,1.86600000,4200495.70000000
2024-11-27 10:42:00,1.86670000,1.91800000,1.81410000,1.83790000,3482019.20000000
2024-11-27 10:45:00,1.83690000,1.89670000,1.77460000,1.89090000,3077370.10000000
2024-11-27 10:48:00,1.89090000,2.07230000,1.87970000,1.95830000,6016140.60000000
2024-11-27 10:51:00,1.95820000,2.30000000,1.95620000,2.25090000,5953682.50000000
2024-11-27 10:54:00,2.25300000,2.33910000,2.12460000,2.25270000,5879745.00000000
2024-11-27 10:57:00,2.25270000,2.48700000,2.25110000,2.39210000,5599105.10000000
2024-11-27 11:00:00,2.39220000,2.49220000,2.15880000,2.22460000,5155162.30000000
2024-11-27 11:03:00,2.22340000,2.66830000,2.21180000,2.65950000,6947953.50000000
2024-11-27 11:06:00,2.66400000,2.77700000,2.55790000,2.60900000,5120265.10000000
2024-11-27 11:09:00,2.60630000,2.89000000,2.50830000,2.83110000,5428858.70000000
2024-11-27 11:12:00,2.83260000,2.89000000,2.65980000,2.76520000,4393174.20000000
2024-11-27 11:15:00,2.76090000,2.87000000,2.70000000,2.72510000,3562477.40000000
2024-11-27 11:18:00,2.72510000,2.87000000,2.72210000,2.79170000,4500701.80000000
2024-11-27 11:21:00,2.78590000,2.81950000,2.46600000,2.55130000,3797835.50000000
2024-11-27 11:24:00,2.54350000,2.67840000,2.37940000,2.60410000,3740291.60000000
2024-11-27 11:27:00,2.60410000,2.74800000,2.52000000,2.72760000,2735411.30000000
2024-11-27 11:30:00,2.72390000,2.74920000,2.53280000,2.61290000,1994399.30000000
2024-11-27 11:33:00,2.61190000,2.61280000,2.42730000,2.46450000,2141690.60000000
2024-11-27 11:36:00,2.46650000,2.49580000,2.35450000,2.35980000,2821894.10000000
2024-11-27 11:39:00,2.35890000,2.44240000,2.33000000,2.40740000,2184073.00000000
2024-11-27 11:42:00,2.40740000,2.41180000,2.27000000,2.29940000,2208776.40000000
2024-11-27 11:45:00,2.29920000,2.38660000,2.29420000,2.30300000,1778607.70000000
2024-11-27 11:48:00,2.30540000,2.41000000,2.30360000,2.32650000,1864856.20000000
2024-11-27 11:51:00,2.32370000,2.34870000,2.24000000,2.24000000,1966851.90000000
2024-11-27 11:54:00,2.24000000,2.29070000,2.22640000,2.23860000,1627371.20000000
2024-11-27 11:57:00,2.23750000,2.40880000,2.23660000,2.38490000,2166123.10000000
2024-11-27 12:00:00,2.38530000,2.47000000,2.37930000,2.42470000,2133529.50000000
2024-11-27 12:03:00,2.42550000,2.53000000,2.42000000,2.52980000,1570166.90000000
2024-11-27 12:06:00,2.52870000,2.59000000,2.44190000,2.45110000,2114979.00000000
2024-11-27 12:09:00,2.45010000,2.45500000,2.37000000,2.42510000,1819232.40000000
2024-11-27 12:12:00,2.42630000,2.45000000,2.31000000,2.34700000,1735234.90000000
2024-11-27 12:15:00,2.34510000,2.50000000,2.30010000,2.45320000,2318437.00000000
2024-11-27 12:18:00,2.45430000,2.53200000,2.43920000,2.48530000,2023891.20000000
2024-11-27 12:21:00,2.48540000,2.55000000,2.47020000,2.49990000,1147889.30000000
2024-11-27 12:24:00,2.49970000,2.56900000,2.49500000,2.52500000,1173591.60000000
2024-11-27 12:27:00,2.52510000,2.58500000,2.49200000,2.58500000,1033748.40000000
2024-11-27 12:30:00,2.58490000,2.74000000,2.58150000,2.69980000,3129991.30000000
2024-11-27 12:33:00,2.69760000,2.76900000,2.63870000,2.74290000,2487703.60000000
2024-11-27 12:36:00,2.74400000,2.74960000,2.56570000,2.61550000,2410817.60000000
2024-11-27 12:39:00,2.61520000,2.65000000,2.53310000,2.54990000,1333513.30000000
2024-11-27 12:42:00,2.55300000,2.57990000,2.48280000,2.57980000,1461696.80000000
2024-11-27 12:45:00,2.57970000,2.58000000,2.45820000,2.51690000,1404911.20000000
2024-11-27 12:48:00,2.51700000,2.55000000,2.31530000,2.39450000,4054653.20000000
2024-11-27 12:51:00,2.39450000,2.41600000,2.34010000,2.34400000,1275069.10000000
2024-11-27 12:54:00,2.34160000,2.44030000,2.34000000,2.43630000,928899.20000000
2024-11-27 12:57:00,2.43340000,2.46200000,2.40210000,2.41190000,783341.20000000
2024-11-27 13:00:00,2.41220000,2.52100000,2.41040000,2.52080000,968487.80000000
2024-11-27 13:03:00,2.52080000,2.52380000,2.45000000,2.46020000,749481.30000000
2024-11-27 13:06:00,2.45980000,2.47260000,2.41120000,2.45420000,525407.50000000
2024-11-27 13:09:00,2.45420000,2.49180000,2.44680000,2.45450000,537260.30000000
2024-11-27 13:12:00,2.45540000,2.48000000,2.44300000,2.44320000,385705.20000000
2024-11-27 13:15:00,2.44310000,2.53750000,2.44000000,2.52980000,907645.00000000
2024-11-27 13:18:00,2.52810000,2.54490000,2.48170000,2.50060000,779415.70000000
2024-11-27 13:21:00,2.50160000,2.51060000,2.46830000,2.47380000,478039.60000000
2024-11-27 13:24:00,2.47390000,2.50000000,2.44590000,2.50000000,520859.60000000
2024-11-27 13:27:00,2.49860000,2.54520000,2.48140000,2.52580000,731701.60000000
2024-11-27 13:30:00,2.52580000,2.54300000,2.49000000,2.50490000,550965.00000000
2024-11-27 13:33:00,2.50300000,2.50720000,2.45380000,2.45670000,418927.20000000
2024-11-27 13:36:00,2.45500000,2.50430000,2.45390000,2.49190000,381407.10000000
2024-11-27 13:39:00,2.49190000,2.50040000,2.46370000,2.48390000,343683.20000000
2024-11-27 13:42:00,2.48230000,2.50000000,2.46520000,2.48370000,438385.20000000
2024-11-27 13:45:00,2.48220000,2.53850000,2.48220000,2.51440000,963677.80000000
2024-11-27 13:48:00,2.51530000,2.52000000,2.47540000,2.50650000,685306.50000000
2024-11-27 13:51:00,2.50590000,2.62200000,2.50000000,2.61280000,1974135.50000000
2024-11-27 13:54:00,2.61560000,2.68000000,2.57020000,2.59140000,1940261.20000000
2024-11-27 13:57:00,2.58990000,2.60270000,2.54470000,2.57300000,969315.80000000
2024-11-27 14:00:00,2.57480000,2.68870000,2.56810000,2.65120000,1734360.40000000
2024-11-27 14:03:00,2.65120000,2.67100000,2.61010000,2.65750000,904924.90000000
2024-11-27 14:06:00,2.65840000,2.67500000,2.60000000,2.62880000,1119721.60000000
2024-11-27 14:09:00,2.62820000,2.65000000,2.59170000,2.62900000,656475.00000000
2024-11-27 14:12:00,2.62760000,2.67000000,2.61000000,2.66000000,783635.00000000
2024-11-27 14:15:00,2.65870000,2.85000000,2.64000000,2.82290000,3008311.40000000
2024-11-27 14:18:00,2.82160000,2.94550000,2.82090000,2.90890000,4582687.90000000
2024-11-27 14:21:00,2.90840000,2.93830000,2.86000000,2.90000000,1784064.60000000
2024-11-27 14:24:00,2.89990000,2.90670000,2.76400000,2.86640000,2444037.90000000
2024-11-27 14:27:00,2.86710000,2.88000000,2.82930000,2.84130000,858578.30000000
2024-11-27 14:30:00,2.84110000,2.84280000,2.77770000,2.80680000,1149723.60000000
2024-11-27 14:33:00,2.80700000,2.84470000,2.74140000,2.83350000,1497178.90000000
2024-11-27 14:36:00,2.83330000,2.87880000,2.82000000,2.87250000,1689212.30000000
2024-11-27 14:39:00,2.87250000,2.97000000,2.80590000,2.83680000,3814343.80000000
2024-11-27 14:42:00,2.83680000,2.88000000,2.82000000,2.84060000,1027548.60000000
2024-11-27 14:45:00,2.84300000,2.86000000,2.75690000,2.82260000,1212086.70000000
2024-11-27 14:48:00,2.82320000,2.82900000,2.76010000,2.78330000,879427.60000000
2024-11-27 14:51:00,2.78320000,2.85000000,2.78320000,2.83360000,775379.90000000
2024-11-27 14:54:00,2.83320000,2.90000000,2.82980000,2.88510000,1692042.50000000
2024-11-27 14:57:00,2.88500000,2.89380000,2.82200000,2.85530000,643846.20000000
2024-11-27 15:00:00,2.85550000,2.91500000,2.85260000,2.87120000,1196438.40000000
2024-11-27 15:03:00,2.87550000,2.92000000,2.83860000,2.86170000,1150593.00000000
2024-11-27 15:06:00,2.86060000,2.86740000,2.80000000,2.80400000,1151074.10000000
2024-11-27 15:09:00,2.80180000,2.83590000,2.76500000,2.76500000,1028021.50000000
2024-11-27 15:12:00,2.76600000,2.86500000,2.75520000,2.86050000,1290087.00000000
2024-11-27 15:15:00,2.86040000,2.88500000,2.84280000,2.86440000,1235220.00000000
2024-11-27 15:18:00,2.86490000,2.87900000,2.82770000,2.86190000,685645.40000000
2024-11-27 15:21:00,2.86110000,2.98000000,2.85090000,2.94630000,1907509.50000000
2024-11-27 15:24:00,2.94690000,3.06900000,2.90590000,3.02690000,3174907.40000000
2024-11-27 15:27:00,3.02460000,3.05000000,2.96780000,3.02060000,2483401.50000000
2024-11-27 15:30:00,3.01980000,3.15800000,3.00000000,3.14150000,3194165.00000000
2024-11-27 15:33:00,3.14130000,3.17000000,3.08000000,3.12640000,2174313.10000000
2024-11-27 15:36:00,3.12730000,3.13830000,3.08820000,3.12040000,1221895.60000000
